question,possible answers,Right answer,topic
Which programming language is most commonly used for web development?,"A) Python, B) C++, C) Ruby, D) JavaScript",D) JavaScript,programming
"What is the function of the ""print"" statement in Python?","A) It takes user input, B) It performs calculations, C) It outputs a message to the console, D) It imports libraries",Correct Answer: C,programming
Which of the following is a programming language used for developing web applications?,"A. Java, B. Python, C. HTML, D. SQL",C. HTML,programming
What programming language is commonly used for web development?,"A) Java, B) Python, C) Ruby, D) Javascript",D) Javascript.,programming
What is the purpose of loops in programming?,"A) To repeat a block of code a specified number of times, B) To execute a block of code continuously until a certain condition is met, C) To allow a program to break out of a block of code before it has finished, D) To store a collection of related values",Right answer: B,programming
"What is the purpose of the ""if"" statement in programming?","A) To declare a variable, B) To loop through code, C) To assign a value to a variable, D) To make a decision based on a condition",The right answer is D) To make a decision based on a condition.,programming
What is the process of finding errors and bugs in a program called?,"a) Debugging, b) Compiling, c) Executing, d) Syntax",a) Debugging,programming
What is a loop in programming?,"A) A structure used to check if a certain condition is met , ""B) A command used to redirect a programs output to a file"", C) A type of variable used to store multiple values, D) A sequence of instructions that are repeatedly executed ",D) A sequence of instructions that are repeatedly executed.,programming
Which statement is true about Object-Oriented Programming?,"A. It requires a lot of memory and storage space., B. It is not suitable for small-scale programs., C. It offers flexibility and reusability of code., D. It is only applicable to web development.",C. It offers flexibility and reusability of code.,programming
What is the difference between a compiler and an interpreter?,"a) A compiler translates code written in a high-level language into machine code, while an interpreter executes code line by line., b) A compiler executes code line by line, while an interpreter translates code written in a high-level language into machine code., c) Both a compiler and an interpreter translates code written in a high-level language into machine code., d) Both a compiler and an interpreter executes code line by line.","A: a) A compiler translates code written in a high-level language into machine code, while an interpreter executes code line by line.",programming
Which programming language is mainly used in building mobile apps?,"A. Python, B. C#, C. Java, D. Ruby",C. Java,programming
1. What is the value of a variable declared as int if it is not assigned any value?,"a) 0, b) 1, c) -1, d) None of the above",d) None of the above. The value of an uninitialized variable is undefined and depends on the programming language and compiler.,programming
What is the most popular programming language used today?,"A. Python, B. C++, C. Java, D. JavaScript",A. Python,programming
Which of the following is not a programming language?,"A) Java, B) Python, C) Photoshop, D) C++",C,programming
What does the acronym IDE stand for in programming?,"A) Integrated Development Environment, B) Intelligent Digital Entity, C) Internal Data Exchange, D) Interactive Design Environment",A) Integrated Development Environment,programming
What is the output of the following Python code?,"x = 5, y = ""2"", print(x * y), a) 10, b) 7, c) ""10"", d) TypeError",d,programming
What is the purpose of a loop in programming?,"A. To break out of the program, B. To repeat a block of code multiple times, C. To initialize a variable, D. To declare a function",B,programming
What is the difference between a variable and a constant in programming?,"a) A variable is a data type that cannot be changed, while a constant is a data type that can change, b) A variable is a data type that can change, while a constant is a data type that cannot be changed, c) A variable and a constant are the same thing in programming ","b) A variable is a data type that can change, while a constant is a data type that cannot be changed",programming
What programming language is commonly used for developing mobile applications?,"A) Python, B) Java, C) C++, D) Ruby",B) Java,programming
What is a programming language?,"A) A language spoken by programmers, B) A set of instructions and rules used to create code, C) A language used to write books about programming, D) A way to communicate with computers",B,programming
What does HTML stand for?,"A) Hyper Text Markup Language, B) High Text Markup Language, C) Hyper Tech Markup Language, D) Home Text Markup Language",A) Hyper Text Markup Language,programming
What is the purpose of object-oriented programming?,"a) To write code that is easy to understand, b) To write code that is reusable, c) To write code that is more efficient, d) To write code that is more secure",b) To write code that is reusable,programming
"What does the acronym ""IDE"" stand for in programming?","a) Integrated Development Environment, b) Interactive Developer Editor, c) Interactive Development Environment, d) Integrated Developer Editor",Ans: a) Integrated Development Environment,programming
What is a loop in programming?,"A) A section of code that is executed repeatedly until a certain condition is met., B) A tool used for printing output to the console., C) A function used to manipulate variables.",A,programming
How can you declare a variable in Python?,"A) var x = 5, B) float x = 5, C) x = 5, D) int x = ""5""",C) x = 5,programming
What is a loop in programming?,"A) A variable used in a program, B) A function used to sort data, C) A sequence of instructions that are repeated until a certain condition is met, D) A statement used to end a program",C,programming
What is the difference between compile-time and runtime errors in programming?,"A. Compile-time errors occur during program execution while runtime errors occur during program compilation., B. Compile-time errors occur due to syntax errors while runtime errors occur due to logical errors., C. There is no difference between compile-time and runtime errors., D. Compile-time errors occur randomly while runtime errors occur consistently.",B. Compile-time errors occur due to syntax errors while runtime errors occur due to logical errors.,programming
What do we call a set of instructions that a computer follows to perform a specific task?,"A. Programming, B. Algorithm, C. Language, D. Syntax",B (Algorithm),programming
What is a loop in programming?,"A) A type of variable, B) A conditional statement, C) A section of code that repeats until a certain condition is met, D) A type of function",C) A section of code that repeats until a certain condition is met.,programming
What is the output of the following code snippet in Python?,"x = 5, if (x < 10):,   print(""Hello""), else:,   print(""Goodbye""), a) Hello, b) Goodbye, c) Null, d) None of the above",A: a) Hello,programming
What is the term used for a group of instructions that tells a computer what to do?,"A. Code, B. Syntax, C. Algorithm, D. Debugging",A. Code,programming
What is a function in programming?,"A. A loop that runs indefinitely, B. A program that alerts the user, C. A set of instructions that perform a specific task, D. A random number generator",C. A set of instructions that perform a specific task,programming
What is a program?,"a) A sequence of instructions that tell a computer what to do, b) A physical device that performs calculations, c) A programming language, d) A software application for word processing",a) A sequence of instructions that tell a computer what to do.,programming
"What is the difference between ""=="" and ""==="" in programming?","A) ""=="" compares for equality of value while ""==="" compares for equality of value and type., B) ""=="" compares for equality of type while ""==="" compares for equality of value., C) ""=="" compares for greater than or equal to while ""==="" compares for less than or equal to., D) ""=="" and ""==="" are interchangeable and can be used interchangeably.",A,programming
What is the output of the following Java code snippet?,"int  arr = {1, 2, 3, 4, 5};, for(int i=arr.length-1; i>=0; i--) {, System.out.print(arri + "" "");, }, a) 1 2 3 4 5, b) 5 4 3 2 1, c) 4 3 2 1, d) 5 4 3 2 ",b) 5 4 3 2 1,programming
What is PHP?,"a) It is a programming language for creating dynamic websites., b) It is a database management system similar to MySQL., c) It is a web server software similar to Apache., d) It is a content management system similar to WordPress.",a) It is a programming language for creating dynamic websites.,programming
What is the basic element of programming language?,"A) Variable, B) Expression, C) Statement, D) Function",C) Statement,programming
What is the difference between a for loop and a while loop?,"A) A for loop is used when you know the number of times you need to iterate, while a while loop is used when the number of iterations is unknown., B) A for loop is used only in Python, while a while loop can be used in any programming language., C) A for loop always iterates at least once, while a while loop may not iterate at all., D) A for loop and a while loop are the same thing.","A) A for loop is used when you know the number of times you need to iterate, while a while loop is used when the number of iterations is unknown.",programming
Which of the following is NOT a programming language? ,"A) Python , B) Java , C) HTML , D) JPEG ",D,programming
What is the output of the following code?,"```python, my_list = 1, 2, 3, 4, 5, my_list1:3 = 0, 0, print(my_list), ```, a) 0, 0, 3, 4, 5, b) 1, 0, 0, 4, 5, c) 1, 2, 0, 0, 5, d) 1, 0, 0, 0, 5","b) [1, 0, 0, 4, 5]",programming
What is the purpose of a loop in programming?,"A) To make an algorithm take longer to run, B) To repeat a statement or set of statements multiple times, C) To randomize the order of execution of statements, D) To display an error message",B) To repeat a statement or set of statements multiple times.,programming
"What does the acronym ""HTML"" stand for?","A) Hyper Text Markup Language, B) Help Text Messaging Line, C) High Tech Media Language, D) Home Tool Making Line",A) Hyper Text Markup Language,programming
What is an IDE in programming?,"A. A programming language, B. A software tool for writing and testing code, C. A hardware tool for debugging code, D. An online forum for discussing programming topics",B,programming
How is a nested loop different from a regular loop?,"a) There is no difference., b) A nested loop is faster than a regular loop., c) A nested loop contains another loop inside it., d) A nested loop only runs once.",c) A nested loop contains another loop inside it.,programming
What is an array in programming?,"A) A type of loop, B) A variable containing a single value, C) A collection of variables of the same data type grouped together, D) A conditional statement",C,programming
What is the difference between a compiler and an interpreter?,"A) A compiler produces machine code directly from the source code, while an interpreter executes the source code line by line., B) An interpreter produces machine code directly from the source code, while a compiler executes the source code line by line., C) Both a compiler and an interpreter produce machine code directly from the source code., D) None of the above.","A) A compiler produces machine code directly from the source code, while an interpreter executes the source code line by line.",programming
What is the output of the following code snippet?,"```, a = 2, b = 3, c = a + b, print(c), ```, a) 2, b) 3, c) 5, d) 6",c) 5,programming
Which programming language is used for web development?,"A. Java, B. Python, C. HTML, D. Ruby",C. HTML,programming
What is the syntax to declare a variable in Python?,"A) var x = 5, B) x = 5, C) int x = 5, D) const x = 5",Correct answer: B) x = 5,programming
Which programming language is commonly used for front-end web development?,"A) Java, B) Python, C) Ruby, D) JavaScript",D,programming
What is an algorithm in programming?,"A) A specific code used to solve a problem, B) A step-by-step process to solve a problem or accomplish a task, C) The name of a programming language, D) A piece of hardware used in programming",B,programming
What is the output of the following Python code?,"lst = 2, 4, 6, 8, 10, print(lst1:4), a) 4, 6, 8, b) 2, 4, 6, c) 6, 8, 10, d) 2, 4, 6, 8, 10","Correct answer: a) [4, 6, 8]. This code prints the slice of the list lst that starts at index 1 and ends at index 4 (but doesn't include index 4). Therefore, it prints the values [4, 6, 8].",programming
What is the most popular programming language?,"A. Python, B. Java, C. C++, D. JavaScript","A or B. Both Python and Java are widely regarded as the most popular programming languages, with slightly different strengths and weaknesses depending on the application.",programming
What is the difference between a for and a while loop in programming?,"a) A for loop is used when the number of iterations is known, while a while loop is used when the number of iterations is not known., b) A for loop is always used with arrays, while a while loop is used with variables., c) A for loop and a while loop are interchangeable and can be used in any situation.","Right answer: a) A for loop is used when the number of iterations is known, while a while loop is used when the number of iterations is not known.",programming
1) What is the purpose of a variable in programming?,"a) To store a value , b) To perform a calculation , c) To display text , d) None of the above, Answer: a , 2) What is a loop in programming? , a) A conditional statement, b) A set of instructions that execute repeatedly until a certain condition is met , c) A way to define functions , d) A type of variable , Answer: b , 3) What does a function do in programming? , a) It stores values , b) It performs calculations , c) It displays text , d) It groups a set of instructions that can be called multiple times during execution ",d,programming
What is the purpose of a variable in programming?,"A. To store data or values , B. To perform calculations , C. To display output , D. To execute programming commands ",A. To store data or values,programming
"What is the difference between ""=="" and ""==="" operators in JavaScript?","A) Both operators are same, B) ""=="" checks only for value but ""==="" checks for both value and data type, C) ""==="" checks only for value but ""=="" checks for both value and data type, D) There is no such operators",B,programming
What is a programming language?,"A. A language used to program robots, B. A set of instructions written for a computer, C. A language used to communicate with aliens, D. A language used to write poetry",B,programming
1. What is an IDE?,"a. A type of programming language, b. An online platform for coding challenges, c. An integrated development environment, d. A software for managing databases, Answer: c ","Explanation: An IDE is a software application that provides comprehensive facilities to computer programmers for software development. It typically includes a source code editor, build automation tools, and a debugger. Some examples are Visual Studio, Eclipse, and IntelliJ IDEA.",programming
What is the difference between a compiler and an interpreter?,"A) A compiler translates source code into machine code all at once, while an interpreter translates source code into machine code one statement at a time., B) A compiler translates machine code into source code, while an interpreter translates source code into machine code., C) A compiler only works with high-level programming languages, while an interpreter works with low-level programming languages., D) A compiler and an interpreter are the same thing.",A,programming
What is an object-oriented programming language?,"A) A programming language that uses mathematical logic to write code, B) A programming language that uses binary code to write programs, C) A programming language that allows for the creation of objects, which are instances of classes, D) A programming language that focuses solely on creating websites",C,programming
What is the purpose of a loop in programming?,"A) To run a block of code multiple times, B) To display an error message, C) To change the value of a variable, D) To quit the program",A) To run a block of code multiple times,programming
Which of the following programming languages is not an object-oriented programming language?,"A) Java, B) Python, C) C++, D) HTML",D,programming
What is a function in programming?,"A. A loop, B. A variable, C. A sequence of instructions that performs a specific task, D. A data type",C.,programming
"What is the purpose of the ""if"" statement in programming?","A) To print output on the screen, B) To assign values to variables, C) To control the flow of a program, D) To import external libraries",C) To control the flow of a program,programming
What is the programming language used to develop iOS mobile applications?,"A) Java, B) C++, C) Python, D) Objective-C, E) Swift",E) Swift,programming
What is a loop in programming?,"A) A function that performs a specific task, B) A data structure used to store multiple values, C) A block of code that repeats a certain number of times, D) A way to add comments to your code",C) A block of code that repeats a certain number of times,programming
Which sport has the most number of players on the field at one time?,"a) Soccer, b) Football, c) Basketball, d) Baseball",b) Football (up to 22 players on field at one time),sport
Who won the FIFA World Cup in 2018?,"A) Brazil, B) France, C) Germany, D) Spain",B) France,sport
What sport has the highest number of players on a team?,"a) Football, b) Baseball, c) Basketball, d) Soccer",c) Basketball,sport
What is the most popular sport in the world?,"A) Tennis, B) Football (Soccer), C) Basketball, D) Baseball",B) Football (Soccer),sport
What is the highest individual score ever made in a test match in cricket?,"A) 375, B) 400*, C) 425, D) 450",B) 400*,sport
What is the most popular sport in the world?,"A) Football (soccer), B) Basketball, C) Tennis, D) Baseball",A) Football (soccer),sport
What is the highest score you can achieve in a single game of American Football?,"a) 10, b) 20, c) 30, d) 40","d) 40 (The highest score you can achieve in a single game of American Football is 40, which is achieved by scoring 6 touchdowns and kicking 6 extra points.)",sport
In which sport do players try to hit a shuttlecock over a net?,"A) Tennis, B) Badminton, C) Volleyball, D) Soccer",B) Badminton,sport
What is the most popular sport in the world?,"A) Football (Soccer), B) Basketball, C) Tennis, D) Volleyball",A) Football (Soccer),sport
Which sport is played with a shuttlecock and racket?,"A. Tennis, B. Badminton, C. Soccer, D. Basketball",B. Badminton.,sport
What is the most-watched sporting event in the world?,"A) Super Bowl, B) FIFA World Cup, C) Summer Olympics , D) Wimbledon ",Correct answer: B) FIFA World Cup,sport
Who won the most Grand Slam men's singles titles in tennis?,"a) Rafael Nadal, b) Roger Federer, c) Novak Djokovic, d) Pete Sampras","b) Roger Federer, with 20 Grand Slam men's singles titles.",sport
What is the most watched sport in the world?,"A. Soccer, B. Basketball, C. Tennis, D. Baseball","A. Soccer (also known as football) is the most watched and played sport in the world, with an estimated 4 billion fans and followers globally.",sport
"Which sport is known as the ""beautiful game""?","A. Basketball , B. Soccer , C. Volleyball , D. Hockey ",B (Soccer),sport
Who won the 2020 Men's FIFA World Cup?,"A) France, B) Brazil, C) Germany, D) Spain",A) France.,sport
"What sport is known as ""The Beautiful Game""?","A) Basketball, B) Soccer, C) Tennis, D) American Football",B) Soccer,sport
In what year did the USA basketball team win their first Olympic gold medal?,"A) 1984, B) 1992, C) 2000, D) 2008",B) 1992,sport
What is the most popular sport in the world?,"A) Basketball, B) Baseball , C) Soccer, D) Rugby",C) Soccer,sport
What is the most popular sport in the world?,"A) Football (Soccer), B) Basketball, C) Baseball, D) Tennis",A) Football (Soccer),sport
What is the national sport of Japan?,"A) Sumo wrestling, B) Judo, C) Baseball, D) Karate",A) Sumo wrestling,sport
What is the most popular sport in the world?,"a) Football (Soccer), b) Basketball, c) Baseball, d) Cricket",a) Football (Soccer),sport
In which year were the first modern Olympic Games held?,"A) 1896 , B) 1900 , C) 1912 , D) 1924 ",A) 1896,sport
What is the most popular sport in the world?,"a) Football (soccer), b) Basketball, c) Baseball, d) Tennis",a) Football (soccer),sport
Who won the FIFA World Cup in 2018?,"A. Brazil, B. Argentina, C. Germany, D. France",D. France,sport
Who was the top scorer of the 2018 FIFA World Cup?,"a) Lionel Messi, b) Cristiano Ronaldo, c) Kylian Mbappe, d) Neymar Jr.",c) Kylian Mbappe.,sport
What is the national sport of Canada?,"A) Hockey, B) Soccer, C) Basketball, D) American Football",A) Hockey,sport
What is the highest point difference ever in a soccer match?,"a) 14, b) 18, c) 20, d) 22","c) 20 (The highest point difference ever in a soccer match was 36-0, set in 2002 by Stade Olympique L'Emyrne against AS Adema in Madagascar.)",sport
1) Which sport involves a net and a shuttlecock?,"a) Tennis, b) Table tennis, c) Badminton, d) Squash",c) Badminton,sport
Which sport is played with a shuttlecock and rackets?,"A) Golf, B) Tennis, C) Badminton, D) Cricket",C) Badminton is played with a shuttlecock and rackets.,sport
Who holds the record for the most goals scored in a single FIFA World Cup tournament?,"A) Lionel Messi, B) Cristiano Ronaldo, C) Miroslav Klose, D) Pele","C) Miroslav Klose, who scored 16 goals in four different World Cups, including five in the 2002 tournament.",sport
What is the national sport of Canada?,"a) Hockey, b) Baseball, c) Basketball, d) Soccer",a) Hockey,sport
What sport is also known as football in some countries and soccer in others?,"A) Basketball  , B) Baseball  , C) Football  , D) Soccer  ",D) Soccer,sport
Which of these sports involves kicking a ball? ,"A) Volleyball , B) Basketball , C) Soccer , D) Swimming",C) Soccer,sport
Which country won the last FIFA World Cup in 2018?,"A) Germany, B) Argentina, C) Brazil, D) France",D) France,sport
What is the most-watched sport in the world?,"A. Soccer, B. Basketball, C. Football, D. Baseball",A. Soccer,sport
In which sport do you use a shuttlecock?,"A) Tennis, B) Badminton, C) Soccer, D) Basketball",B) Badminton,sport
"What sport is known as ""The Beautiful Game""?","a) Tennis, b) Football, c) Basketball, d) Golf",b) Football.,sport
Which team won the Women's World Cup of soccer in 2019?,"A) United States, B) Canada, C) Germany, D) France",A) United States,sport
"What sport is also known as ""The Beautiful Game""?","A. Football (soccer), B. Basketball, C. Tennis, D. Volleyball",A. Football (soccer),sport
"Which sport is known as the ""king of sports""?","A. Basketball, B. Soccer, C. Tennis, D. Football",B. Soccer,sport
"Which sport is known as ""The Beautiful Game""?","a) Basketball, b) Soccer, c) Football, d) Baseball",b) Soccer,sport
What sport is played on a field and involves two teams trying to score goals by hitting a ball with a stick?,"A) Soccer, B) Basketball, C) Hockey, D) Tennis",C) Hockey,sport
What is the highest governing body of world football?,"A) FIFA, B) UEFA, C) CONMEBOL, D) AFC",A) FIFA,sport
Which sport involves players hitting a ball with a racket?,"A) Soccer, B) Basketball, C) Tennis, D) Volleyball",C) Tennis,sport
In what sport is a slam dunk a common move? ,"A) Soccer , B) Basketball , C) Golf , D) Tennis ",B) Basketball.,sport
1. Which NFL team has the most Super Bowl wins?,"a) Pittsburgh Steelers, b) New England Patriots, c) Dallas Cowboys, d) San Francisco 49ers",a) Pittsburgh Steelers,sport
What is the national sport of Canada?,"A) Hockey, B) Soccer, C) Basketball, D) Baseball",A) Hockey,sport
Which country won the 2018 FIFA World Cup?,"A) Brazil, B) Germany, C) France, D) Spain",Correct answer: C) France,sport
What is the world's most popular sport?,"A. Football (Soccer), B. Basketball, C. Tennis, D. Golf",A. Football (Soccer),sport
Who is the all-time leading scorer in the NBA?,"A. Kobe Bryant, B. Kareem Abdul-Jabbar, C. LeBron James, D. Michael Jordan",B,sport
What is the most popular sport in the world?,"A) Basketball, B) Soccer, C) American football, D) Tennis",B) Soccer,sport
In what sport do players use a mallet to hit a ball through a goal post?,"a) Tennis, b) Basketball, c) Polo, d) Soccer",c) Polo,sport
In what year was soccer introduced in the Olympic Games?,"A) 1900, B) 1896, C) 1924, D) 1936",A) 1900,sport
"What sport involves heavy weights and barbells, and is often competed in Olympic Games? ","A) Weightlifting , B) Powerlifting , C) Crossfit , D) Bodybuilding ",A) Weightlifting,sport
Who is considered the greatest athlete of all time?,"A) Usain Bolt, B) Michael Jordan, C) Tiger Woods, D) Muhammad Ali","D) Muhammad Ali. Known as ""The Greatest,"" Ali was a world-renowned boxer who won numerous titles and Olympic gold medals, while advocating for social justice and inspiring generations.",sport
Who won the FIFA World Cup in 2018?,"A) France, B) Germany, C) Brazil, D) Spain",Right answer: A) France,sport
Which country won the 2018 FIFA World Cup?,"A) Germany , B) France , C) Brazil , D) Spain ",B) France,sport
In which year did Roger Federer win his first Wimbledon title?,"a) 1999, b) 2001, c) 2003, d) 2005",c) 2003.,sport
What is the most popular sport in the world?,"A) Baseball, B) Basketball, C) Soccer, D) Football",C) Soccer.,sport
Which country won the most gold medals in the 2021 Tokyo Olympics?,"A. United States, B. China, C. Japan, D. Great Britain",B. China (with a total of 38 gold medals),sport
Who won the 2020 Super Bowl?,"A) New England Patriots , B) Pittsburgh Steelers , C) San Francisco 49ers , D) Kansas City Chiefs ",D) Kansas City Chiefs,sport
What is the most popular sport in the world?,"A. Football (Soccer), B. Basketball, C. Baseball, D. Cricket",A. Football (Soccer),sport
What athlete has won the most Olympic gold medals?,"A. Usain Bolt, B. Michael Phelps, C. LeBron James, D. Simone Biles",B. Michael Phelps,sport
Which sport involves dribbling a ball with your feet?,"A) Basketball, B) Football, C) Tennis, D) Baseball",B) Football,sport
What is the most popular team sport in the world?,"a) Soccer, b) Basketball, c) American football, d) Baseball",a) Soccer,sport
What is the highest scoring game in NBA history?,"A) 170-151, B) 161-154, C) 179-167, D) 186-184",D) 186-184,sport
Which of these sports is not an Olympic sport?,"a) Football, b) Tennis, c) Snowboarding, d) Cricket",d) Cricket,sport
What sport uses a racket to hit a shuttlecock over a net?,"A. badminton, B. basketball, C. soccer, D. hockey",A. badminton,sport
What is the only country to participate in every modern Olympic Games?,"a) Russia, b) China, c) USA, d) Greece",d) Greece,sport
What is the most watched sport in the world?,"A. Basketball, B. Football (soccer), C. Baseball, D. Tennis",B. Football (soccer),sport
Which sport is played on a field and involves hitting a ball with a bat?,"A. Basketball, B. Football, C. Tennis, D. Baseball",D. Baseball.,sport
Who is considered the best soccer player in the world?,"A) Lionel Messi, B) Cristiano Ronaldo, C) Neymar Jr., D) Kylian Mbappé",A) Lionel Messi,sport
In what sport can you score a hat-trick?,"A) Soccer, B) Baseball, C) Basketball, D) Hockey",D) Hockey,sport
What is the most popular sport in the world?,"A. Football (Soccer), B. Basketball, C. Tennis, D. Volleyball",A. Football (Soccer),sport
What is the most popular sport in the world?,"A) Soccer, B) Basketball, C) American Football, D) Baseball",A) Soccer,sport
What is the national sport of Canada?,"A) Ice Hockey, B) Basketball, C) Football, D) Baseball",A) Ice Hockey,sport
In what year was the first Olympic Games held?,"A) 100 AD, B) 1000 AD, C) 776 BC, D) 1300 BC",C) 776 BC,sport
Which sport does the World Cup tournament belong to?,"A. Football (Soccer), B. Basketball, C. Tennis, D. Golf",A. Football (Soccer),sport
What is the most popular sport in the world?,"A) Soccer, B) Football, C) Basketball, D) Tennis",A) Soccer,sport
What is the most popular sport in the world?,"A) Football (Soccer), B) Basketball, C) Cricket, D) Tennis",A) Football (Soccer),sport
Which country hosted the 2018 FIFA World Cup?,"a) Brazil, b) Germany, c) Russia, d) Spain",c) Russia,sport
"What sport is known as the ""beautiful game""?","A) Rugby, B) Basketball, C) Football, D) Tennis",C) Football (also known as soccer),sport
What is the most popular sport in the world?,"a) football/soccer, b) basketball, c) tennis, d) baseball",a) football/soccer,sport
What is the national sport of Canada?,"A) Cricket, B) Football, C) Hockey, D) Basketball",C) Hockey,sport
What is the most watched sport in the world?,"A) American Football, B) Soccer, C) Basketball, D) Cricket",B) Soccer,sport
What is the most-watched sport in the world?,"A) Basketball, B) Soccer, C) Baseball, D) Football",B) Soccer,sport
What is the most popular sport in the world?,"a) Football (soccer), b) Baseball, c) Basketball, d) Cricket",The correct answer is a) Football (soccer). It is estimated that over 4 billion people around the world regularly enjoy playing or watching football.,sport
Which country hosted the FIFA World Cup in 2018?,"A) South Africa, B) Russia, C) Brazil, D) Germany",B) Russia,sport
What is the most popular sport in the world?,"A. Football (Soccer), B. Basketball, C. Tennis, D. Golf",A. Football (Soccer),sport
Which sport involves scoring goals by hitting a ball with a stick into the opposing team's net?,"A) Soccer, B) Basketball, C) Hockey, D) Tennis",C) Hockey,sport
"What sport is known as ""The Beautiful Game""?","A) Cricket , B) Basketball , C) Soccer , D) Baseball ",C) Soccer,sport
Who won the 2021 Super Bowl?,"A) New England Patriots, B) Kansas City Chiefs, C) Buffalo Bills, D) Tampa Bay Buccaneers",D) Tampa Bay Buccaneers,sport
1. Who won the 2018 FIFA World Cup in Russia?,"A. Germany, B. Brazil, C. France, D. Argentina",C. France,sport
What is the name of the most popular sport in the world?,"A) Basketball, B) Football (Soccer), C) Tennis, D) Golf",B) Football (Soccer),sport
What is the most popular sport in the world?,"A) Basketball, B) Football (soccer), C) Baseball, D) Tennis",B) Football (soccer),sport
What is the name of the tournament that takes place every four years and brings together the best soccer teams in the world?,"a) World Cup, b) Super Bowl, c) Champions League, d) NBA Finals",a) World Cup,sport
1) What is the most popular sport in the world?,"a) baseball, b) soccer, c) basketball, d) tennis",b) soccer,sport
Who is the all-time leading scorer in NBA history?,"A. Kobe Bryant, B. Michael Jordan, C. Kareem Abdul-Jabbar, D. LeBron James",C,sport
What is the highest score possible in a single game of basketball?,"A. 100, B. 200, C. 150, D. 120",A. 100.,sport
What sport involves a small rubber ball that players hit with a racquet against a wall?,"A) Tennis, B) Badminton, C) Squash, D) Ping pong",C) Squash,sport
Who won the FIFA World Cup in 2018?,"A) Germany, B) Argentina, C) Brazil, D) France",D) France,sport
What is the national sport of Spain?,"A. Football (soccer), B. Tennis, C. Bullfighting, D. Basketball",A (Football/soccer),sport
What is the most popular sport in the world?,"A) Football (soccer), B) Basketball, C) Cricket, D) Baseball",Correct answer: A) Football (soccer),sport
What is the name of the biggest soccer tournament?,"a) Champions League, b) World Cup, c) Copa America, d) Premier League",b) World Cup,sport
What is the most popular sport in the world?,"A. Basketball, B. Football (Soccer), C. Tennis, D. Baseball",B. Football (Soccer),sport
Which sport is also known as football in some countries?,"A) Basketball, B) Rugby, C) Tennis, D) Soccer",D) Soccer,sport
Who won the Women's Singles title at Wimbledon in 2021?,"a) Ashleigh Barty, b) Naomi Osaka, c) Serena Williams, d) Simona Halep",a) Ashleigh Barty,sport
Which of the following is not a sport?,"A) Basketball, B) Football, C) Chess, D) Tennis",C) Chess,sport
Which of the following is a contact sport?,"A) Tennis, B) Basketball, C) Football, D) Swimming",Correct answer: C) Football,sport
Who won the FIFA World Cup in 2018?,"A. Germany, B. Spain, C. France, D. Brazil",C. France,sport
Which country has won the most Olympic gold medals?,"A) United States, B) China, C) Russia, D) Great Britain",Correct answer: A (United States),sport
What is the most popular sport in the world?,"A) Soccer, B) Basketball, C) American Football, D) Baseball",Right answer: A) Soccer,sport
What is the most watched sporting event in the world?,"A) Wimbledon, B) Super Bowl, C) World Cup, D) Olympics",C) World Cup,sport
What is the name of the highest level of professional basketball in North America?,"A) NBA, B) NFL, C) NHL, D) MLB",The correct answer is A) NBA.,sport
What is the most popular sport in the world?,"A. Football (soccer), B. American football, C. Basketball, D. Baseball",A. Football (soccer),sport
Who won the FIFA World Cup 2018?,"A) Brazil, B) Germany, C) France, D) Spain",C) France.,sport
What is the most popular sport in the world?,"A) Soccer, B) Basketball, C) Football, D) Tennis",A) Soccer,sport
Who is the all-time leading scorer in the NBA?,"A) LeBron James, B) Kareem Abdul-Jabbar, C) Michael Jordan, D) Kobe Bryant","The correct answer is B) Kareem Abdul-Jabbar with 38,387 points.",sport
Which of the following sports requires players to have six-pack abs?,"A. Football, B. Basketball, C. Swimming, D. Boxing",C,sport
What is the most popular sport in the world?,"A) Football (soccer), B) Basketball, C) Baseball, D) Tennis",A) Football (soccer),sport
What team won the 2021 NBA Championship? ,"a) Los Angeles Lakers, b) Brooklyn Nets, c) Utah Jazz, d) Milwaukee Bucks",d) Milwaukee Bucks,sport
What is the most popular sport in the world?,"A) Soccer, B) Basketball, C) Baseball, D) Rugby",A) Soccer,sport
In what year did Usain Bolt break his own world record in the 100-meter dash at the Beijing Olympics?,"A) 2008, B) 2009, C) 2012, D) 2016",A) 2008,sport
What is the most decorated Olympic athlete of all time?,"A) Michael Phelps , B) Usain Bolt , C) Simone Biles , D) Larisa Latynina ",D,sport
What is the highest-scoring game in NBA history?,"A) 173-171 , B) 148-147 , C) 159-158 , D) 162-161",A) 173-171,sport
Which sport has a player called a quarterback?,"a) Soccer, b) Basketball, c) Football, d) Baseball",c) Football,sport
What is the most watched sports event in the world?,"A) FIFA World Cup, B) Super Bowl, C) NBA Finals, D) Olympic games",A) FIFA World Cup,sport
Who won the Men's Wimbledon championship in 2021?,"A) Novak Djokovic, B) Rafael Nadal, C) Roger Federer, D) Andy Murray",A) Novak Djokovic,sport
Which of the following sports is played with a shuttlecock and a racket?,"a) Baseball , b) Soccer , c) Tennis , d) Badminton ",d) Badminton,sport
What is the most popular sport in the world?,"A) Football (soccer), B) Basketball, C) Baseball, D) Tennis",A) Football (soccer),sport
What sport requires the use of a cue stick and 16 balls?,"A. Basketball, B. Football, C. Tennis, D. Pool",D. Pool,sport
What is the national sport of Japan?,"a) Sumo Wrestling, b) Karate, c) Judo, d) Kendo",a) Sumo Wrestling,sport
